id,category,mood_state,sleep_state,restart_state,negative_ja,positive_ja,episode_ja,negative_en,positive_en,episode_en
1,self_blame,low,any,any,自分はダメだ,自分にはまだ伸びる余地がある,失敗した日でも小さく立て直した人はたくさんいます。,I’m not good enough.,I still have room to grow.,Even after a hard day, many people begin again in small ways.
2,fatigue,low,low,any,今日は何もできない,今日は休むことも大切な一歩,疲れている日に無理をしなかったことで整うことがあります。,I can’t do anything today.,Resting today can still be a meaningful step.,Sometimes recovery begins when you stop pushing on a tired day.
3,anxiety,low,any,any,この先が不安だ,今ここだけを見れば大丈夫,先のことを考えすぎず今日を小さく終えるだけで十分な日もあります。,I’m anxious about what comes next.,It may be enough to focus only on today.,Some days, gently finishing today is enough.
4,restart,any,any,yes,また続かなかった,また今日から始めればいい,空白があっても戻ってきたこと自体に意味があります。,I stopped again.,I can begin again today.,Even after a gap, coming back matters.
5,comparison,mid,any,any,自分は人より劣っている,比べなくていい,人と比べず自分のペースに戻るだけで心が少し楽になることがあります。,I’m behind other people.,I don’t need to compare myself.,It can feel lighter when you return to your own pace.
6,pressure,mid,any,any,もっと頑張らないと,今日は十分やった,見えにくくても続けていること自体が力になっています。,I have to do more.,What I did today may already be enough.,Even if it feels small, continuing still matters.
7,low_confidence,low,any,any,どうせ変われない,少しずつなら変わっていける,大きく変わらなくても昨日より少し楽なら十分です。,Nothing will change anyway.,Change can happen little by little.,You do not need a dramatic change for today to matter.
8,overthinking,mid,any,any,考えすぎて動けない,ひとつだけやればいい,全部を片づけなくても一つだけできれば前に進んでいます。,I’m overthinking and can’t move.,I only need to do one thing.,You do not have to solve everything today.
9,lonely,low,any,any,ひとりぼっちだ,ひとりの時間にも意味がある,静かな時間の中で気持ちが少し整うこともあります。,I feel alone.,Quiet time can still hold meaning.,Sometimes calm time helps your mind settle.
10,rest,any,low,any,休んではいけない,休むことも整える力,休めた日のあとに少し動けることがあります。,I shouldn’t rest.,Rest can also help me recover.,A day of rest can make tomorrow a little easier.
11,restart,any,any,yes,少し間が空くと、また止まるのではと不安になることがあります。,それでも今日ここを開けたことには、ちゃんと意味があります。,全部を元に戻そうとせず、今日は短く記録するだけでも十分です。,After a gap it can feel unsettling to begin again.,Still opening this today already means something.,You do not need to catch up all at once. A short entry today is enough.
12,restart,any,any,yes,空白のあとに戻る日は、前よりうまくやらなければと思いやすいです。,でも、戻ってきた今日はそれだけで小さな前進です。,前と同じ形でなくても、今日の自分に合うやり方で大丈夫です。,Coming back after a break can bring pressure to do it perfectly.,But returning today is already a small step forward.,It does not have to look the same as before. Today’s version is enough.
13,restart,low,any,yes,また続かなかったと思うと、自分を責めたくなることがあります。,けれど、やめずに戻ってきたやさしさもあなたの中にあります。,今日は反省よりも、今ここに戻れたことを静かに受け取ってみてください。,It is easy to blame yourself when something did not continue.,But the part of you that came back is also real.,Today try receiving that return gently instead of judging it.
14,restart,mid,any,yes,久しぶりに再開する日は、少し気持ちが重いことがあります。,重さがあっても、始め直しはできます。,まずはひとつだけ入力できたら、それで十分なスタートです。,Restarting can feel heavy especially after time away.,Even with that heaviness you can begin again.,If you enter just one thing today that is enough for a start.
15,restart,any,any,yes,空いた時間のぶんだけ、自分に距離を感じることがあります。,でも、今日の一歩でその距離は少し縮まります。,完璧な再開ではなくて大丈夫です。戻ってきた今日をそのまま大事にしてください。,A break can make you feel distant from yourself.,But one small step today can shorten that distance.,It does not need to be a perfect restart. Coming back today is enough.
16,restart,low,any,yes,再開するときは、前の空白ばかりが気になることがあります。,それでも、今日から先はまた静かにつくっていけます。,過去を埋めるより、今日を小さく整えることを優先して大丈夫です。,When you restart the gap may stand out more than anything else.,Even so from today you can begin shaping things again.,You do not need to fill the past. It is enough to gently steady today.
17,restart,any,any,yes,戻ってくる日は、気合いよりも不安のほうが先に出ることがあります。,不安があっても、戻る力はちゃんと残っています。,今日は先のことを考えすぎず、ここに来られたことを一歩にしてみてください。,On a return day anxiety can come before motivation.,Even so the ability to come back is still there.,Without thinking too far ahead let arriving here today count as one step.
18,restart,mid,any,yes,間が空いたあとには、前の流れにすぐ戻れないこともあります。,それは自然なことで、急いで整えなくても大丈夫です。,今日はやり直しではなく、続きの一日として扱ってみてもよさそうです。,After a pause it may not be easy to slip back into rhythm.,That is natural and there is no need to rush.,Today can be treated not as starting over but as continuing gently.
19,restart,any,any,yes,再開の日は、最初の一歩がいちばん大きく感じられることがあります。,でも、一歩目は小さいほど続けやすいこともあります。,短く終えることを悪く思わず、軽い形で戻ることを選んで大丈夫です。,The first step back can feel like the biggest one.,But the smaller it is the easier it may be to continue.,It is okay to come back in a light simple way.
20,restart,low,any,yes,また空いてしまったと思うと、恥ずかしさが混じることがあります。,それでも、戻りたいと思えた気持ちは大切にしてよさそうです。,今日は自分を叱るより、戻れたことを静かに認めてみてください。,A gap can bring a little embarrassment with it.,Still the wish to return is worth caring for.,Today try noticing that return instead of scolding yourself.
21,restart,any,any,yes,久しぶりに開く日は、うまく書けるかを気にしすぎることがあります。,うまく書くことより、戻ってきたことのほうが大切です。,言葉が短くても、今日のあなたの記録として十分に意味があります。,After time away you may worry about saying it well.,Coming back matters more than saying it perfectly.,Even a few words are enough to make today’s entry meaningful.
22,restart,mid,any,yes,再開すると、前に止まった場所を思い出して気が重くなることがあります。,でも、今日はその続きではなく新しい一日でもあります。,全部を背負わず、今日の分だけをそっと置いていけば十分です。,Restarting can bring back the weight of where things stopped.,But today is also a new day and not only a continuation of that moment.,You only need to place down today’s piece.
